
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Vlong (V),Vhall (V),Vr (V)
,3927057375.86867,7.99938535690308,135105.453125,-0.00000232100767,,
,3927057376.41951,7.99987840652466,135081.890625,-0.0000023244842,,
,3927057376.97004,7.99950981140137,135058,-0.00000232125599,,
,3927057377.51824,7.99974632263184,135038.140625,-0.00000232659556,,
,3927057378.08316,7.9998893737793,135018.265625,-0.0000022976658,,
,3927057378.614,7.99982690811157,134994.8125,-0.0000023094612,,
,3927057379.16182,7.99994850158691,134975.078125,-0.00000231231693,,
,3927057379.70843,8.00010395050049,134955.171875,-0.00000232448481,,
,3927057380.2582,7.99976348876953,134927.625,-0.00000231914584,,
,3927057380.80564,7.99994850158691,134911.421875,-0.00000232808591,,
,3927057381.35074,8.00015163421631,134888.21875,-0.00000232585099,,
,3927057381.90122,8.00019073486328,134864.578125,-0.00000229481047,,
,3927057382.44171,8.00036239624023,134844.546875,-0.00000230188771,,
,3927057382.99039,8.00072002410889,134820.9375,-0.0000023048676,,
,3927057383.53694,8.00023746490479,134801.1875,-0.00000230809581,,
,3927057384.08263,8.0001859664917,134777.265625,-0.00000230735021,,
,3927057384.62664,8.00041198730469,134757.453125,-0.00000230797102,,
,3927057385.18879,7.99992227554321,134738.09375,-0.00000225818204,,
,3927057385.73588,7.99983215332031,134714.578125,-0.000000477698504,,
,3927057386.28481,7.99924802780151,134694.265625,-0.000000373278235,,
,3927057386.81482,7.99946355819702,134670.4375,-0.000000346707561,,
,3927057387.36119,7.99969863891602,134646.8125,-0.000000331063144,,
,3927057387.91462,7.99985361099243,134627.1875,-0.000000330318149,,
,3927057388.4616,7.99955606460571,134607.421875,-0.00000033155977,,
,3927057389.0065,7.9992995262146,134583.671875,-0.000000304864938,,
,3927057389.55725,7.99982690811157,134563.953125,-0.000000321502647,,
,3927057390.09997,8.00047397613525,134539.90625,-0.000000332428904,,
,3927057390.64986,8.00078582763672,134520.09375,-0.000000319888533,,
,3927057391.1908,8.00132942199707,134496.609375,-0.000000317405293,,
,3927057391.74362,8.00070667266846,134476.609375,-0.000000332180571,,
,3927057392.28934,8.00074577331543,134452.90625,-0.000000316287835,,
,3927057392.83403,8.00095653533936,134433.09375,-0.000000315791187,,
,3927057393.3815,7.99999475479126,134413.359375,-0.000000310576384,,
,3927057393.92698,7.99996042251587,134389.65625,-0.000000325724159,,
,3927057394.47357,8.00002288818359,134366.046875,-0.00000031653617,,
,3927057395.02165,7.99957704544067,134346.21875,-0.000000331559773,,
,3927057395.56509,7.99948453903198,134322.375,-0.000000316287846,,
,3927057396.11392,7.99982690811157,134302.53125,-0.000000321626813,,
,3927057396.67509,7.99931287765503,134282.734375,-0.000000330814801,,
,3927057397.23385,7.99930334091187,134259.265625,-0.000000333422236,,
,3927057397.7812,7.99881029129028,134239.5,-0.000000891282314,,
,3927057398.32774,7.99913167953491,134215.765625,-0.00000219560462,,
,3927057398.86834,7.99892663955688,134196.078125,-0.00000226588034,,
,3927057399.41675,7.99876260757446,134172.21875,-0.0000023026323,,
,3927057399.96224,7.99841403961182,134148.640625,-0.00000230337727,,
